""
가공식품 > 절임/발효식품 > 젓갈/액젓류 > 기타젓갈/액젓류
""
가공식품 > 즉석/편의식품 > 냉동대용식 > 만두류
가공식품 > 건강식품 > 건강기능식품 > 건강기능식품
가공식품 > 과자류 > 과자세트류 > 과자세트류
가공식품 > 커피/코코아 > 원두커피 > 로스팅원두커피
가공식품 > 커피/코코아 > 원두커피 > 로스팅원두커피
가공식품 > 축산가공식품 > 햄/소시지(통조림/병제외) > 햄
""
가공식품 > 차류 > 침출차 > 허브차/자스민차
가공식품 > 조미료 > 종합조미료 > 물엿
가공식품 > 대용식재료 > 면류 > 냉면
가공식품 > 대용식재료 > 면류 > 냉면
""
""
가공식품 > 건강식품 > 기타건강식품 > 기타건강식품
가공식품 > 음료류 > 주스 > 천연과즙음료
""
가공식품 > 축산가공식품 > 기타축산가공식품 > 기타육가공
가공식품 > 과자류 > 비스킷 > 스낵
""
가공식품 > 농산가공식품 > 기타농산가공식품 > 기타농산가공식품
가공식품 > 커피/코코아 > 원두커피 > 기타원두커피
""
가공식품 > 영유아식품 > 영유아용간식 > 기타영유아용간식
가공식품 > 건강식품 > 건강기능식품 > 건강기능식품
가공식품 > 축산가공식품 > 기타축산가공식품 > 기타육가공
""
가공식품 > 즉석/편의식품 > 편의식품 > 기타편의식품
가공식품 > 냉동식품 > 기타냉동식품 > 기타냉동식품
""
가공식품 > 건강식품 > 건강보조식품 > 홍삼/인삼제품
가공식품 > 건강식품 > 건강보조식품 > 홍삼/인삼제품
가공식품 > 차류 > 액상차 > 기타액상차
가공식품 > 커피/코코아 > 액상커피 > 커피음료
""
가공식품 > 수산가공식품 > 해조류 > 김
가공식품 > 음료류 > 기타음료류 > 기타음료류
가공식품 > 주류 > 양조주 > 약주
신선식품 > 농산물 > 과일류 > 기타과일
가공식품 > 기타가공식품 > 기타가공식품 > 기타가공식품
가공식품 > 분말류 > 기타분말류 > 기타분말류
가공식품 > 농산가공식품 > 기타농산가공식품 > 기타농산가공식품
가공식품 > 절임/발효식품 > 절임식품 > 기타절임식품
가공식품 > 건강식품 > 건강기능식품 > 건강기능식품
가공식품 > 어육/연식품류 > 어육제품류 > 어묵
""
